date,store_id,sku_id,units_sold,prediction,stock_on_hand,on_order_units,reorder_point,safety_stock,lead_time_days,unit_price,cost_price,category,subcategory,brand,lead_time_demand,available_inventory,forecast_daily_demand,days_of_supply,stock_after_lead_time,stockout_units,safety_stock_gap,reorder_gap,stockout_risk,target_inventory_30d,excess_inventory_units,overstock_risk,risk_score,risk_level,recommended_action,stockout_value_at_stake,overstock_value_at_stake,value_at_stake,priority,risk_reason,recommended_markdown_units
2025-12-11,ST29,SKU03043,1,1.8548868,555.0,0.0,94.0,24.0,7.0,4386.71,3398.16,Electronics & Accessories,Mobile Accessories,HealthFirst,1.8548868,555.0,1.8548868,299.2096337091838,553.1451132,0.0,0.0,0.0,False,55.646604,499.353396,True,100.0,OVERSTOCK,MARKDOWN,0.0,1696882.7361513597,1696882.74,CRITICAL,Inventory exceeds the 30-day demand coverage target,499.0
2025-12-22,ST21,SKU03150,2,2.0582168,420.0,0.0,80.0,20.0,7.0,3570.59,2742.62,Apparel & Footwear,Women's Wear,ZestyCo,2.0582168,420.0,2.0582168,204.06013593903228,417.9417832,0.0,0.0,0.0,False,61.746503999999995,358.253496,True,100.0,OVERSTOCK,MARKDOWN,0.0,982553.2031995199,982553.2,CRITICAL,Inventory exceeds the 30-day demand coverage target,358.0
2025-12-13,ST27,SKU01428,1,1.8229209,470.0,0.0,87.0,23.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.8229209,470.0,1.8229209,257.8279726783537,468.1770791,0.0,0.0,0.0,False,54.687627,415.312373,True,100.0,OVERSTOCK,MARKDOWN,0.0,848740.6717102599,848740.67,CRITICAL,Inventory exceeds the 30-day demand coverage target,415.0
2025-12-21,ST12,SKU04062,1,1.8090868,325.0,0.0,82.0,38.0,7.0,3430.14,2728.94,Electronics & Accessories,Mobile Accessories,PurePlus,1.8090868,325.0,1.8090868,179.64864925220834,323.1909132,0.0,0.0,0.0,False,54.272604,270.727396,True,100.0,OVERSTOCK,MARKDOWN,0.0,738798.8200402401,738798.82,CRITICAL,Inventory exceeds the 30-day demand coverage target,271.0
2025-12-05,ST28,SKU00584,3,1.7954226,424.0,0.0,95.0,31.0,7.0,2331.51,1830.55,Apparel & Footwear,Women's Wear,PrimeCare,1.7954226,424.0,1.7954226,236.15610051917582,422.2045774,0.0,0.0,0.0,False,53.862678,370.137322,True,100.0,OVERSTOCK,MARKDOWN,0.0,677554.8747871,677554.87,CRITICAL,Inventory exceeds the 30-day demand coverage target,370.0
2025-12-23,ST20,SKU00024,3,1.62342,446.0,0.0,87.0,30.0,7.0,2711.05,1671.96,Electronics & Accessories,Batteries,HealthFirst,1.62342,446.0,1.62342,274.72865925022484,444.37658,0.0,0.0,0.0,False,48.702600000000004,397.2974,True,100.0,OVERSTOCK,MARKDOWN,0.0,664265.360904,664265.36,CRITICAL,Inventory exceeds the 30-day demand coverage target,397.0
2025-12-14,ST30,SKU01428,4,1.6534005,353.0,0.0,65.0,30.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.6534005,353.0,1.6534005,213.49939110336544,351.3465995,0.0,0.0,0.0,False,49.602015,303.397985,True,100.0,OVERSTOCK,MARKDOWN,0.0,620030.1901056999,620030.19,CRITICAL,Inventory exceeds the 30-day demand coverage target,303.0
2025-12-04,ST01,SKU02915,1,2.3204694,406.0,0.0,78.0,24.0,7.0,2288.75,1746.3,Electronics & Accessories,Small Appliances,ZestyCo,2.3204694,406.0,2.3204694,174.96459983484377,403.6795306,0.0,0.0,0.0,False,69.614082,336.385918,True,100.0,OVERSTOCK,MARKDOWN,0.0,587430.7286033999,587430.73,CRITICAL,Inventory exceeds the 30-day demand coverage target,336.0
2025-12-22,ST28,SKU04791,1,1.7214586,383.0,0.0,68.0,15.0,7.0,2688.04,1755.1,Electronics & Accessories,Batteries,CleanWave,1.7214586,383.0,1.7214586,222.48574551836447,381.2785414,0.0,0.0,0.0,False,51.643758000000005,331.356242,True,100.0,OVERSTOCK,MARKDOWN,0.0,581563.3403342,581563.34,CRITICAL,Inventory exceeds the 30-day demand coverage target,331.0
2025-12-10,ST21,SKU00516,4,2.1309829,460.0,0.0,80.0,18.0,7.0,2155.25,1441.14,Electronics & Accessories,Batteries,GoldenHarvest,2.1309829,460.0,2.1309829,215.86283024608036,457.8690171,0.0,0.0,0.0,False,63.929486999999995,396.070513,True,100.0,OVERSTOCK,MARKDOWN,0.0,570793.05910482,570793.06,CRITICAL,Inventory exceeds the 30-day demand coverage target,396.0
