date,store_id,sku_id,units_sold,prediction,stock_on_hand,on_order_units,reorder_point,safety_stock,lead_time_days,unit_price,cost_price,category,subcategory,brand,lead_time_demand,available_inventory,forecast_daily_demand,days_of_supply,stock_after_lead_time,stockout_units,safety_stock_gap,reorder_gap,stockout_risk,target_inventory_30d,excess_inventory_units,overstock_risk,risk_score,risk_level,recommended_action,stockout_value_at_stake,overstock_value_at_stake,value_at_stake,priority,risk_reason
2025-12-11,ST29,SKU03043,1,1.8548868,555.0,0.0,94.0,24.0,7.0,4386.71,3398.16,Electronics & Accessories,Mobile Accessories,HealthFirst,1.8548868,555.0,1.8548868,299.2096337091838,553.1451132,0.0,0.0,0.0,False,55.646604,499.353396,True,100.0,OVERSTOCK,MARKDOWN,0.0,1696882.7361513597,1696882.74,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-22,ST21,SKU03150,2,2.0582168,420.0,0.0,80.0,20.0,7.0,3570.59,2742.62,Apparel & Footwear,Women's Wear,ZestyCo,2.0582168,420.0,2.0582168,204.06013593903228,417.9417832,0.0,0.0,0.0,False,61.746503999999995,358.253496,True,100.0,OVERSTOCK,MARKDOWN,0.0,982553.2031995199,982553.2,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-13,ST27,SKU01428,1,1.8229209,470.0,0.0,87.0,23.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.8229209,470.0,1.8229209,257.8279726783537,468.1770791,0.0,0.0,0.0,False,54.687627,415.312373,True,100.0,OVERSTOCK,MARKDOWN,0.0,848740.6717102599,848740.67,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-21,ST12,SKU04062,1,1.8090868,325.0,0.0,82.0,38.0,7.0,3430.14,2728.94,Electronics & Accessories,Mobile Accessories,PurePlus,1.8090868,325.0,1.8090868,179.64864925220834,323.1909132,0.0,0.0,0.0,False,54.272604,270.727396,True,100.0,OVERSTOCK,MARKDOWN,0.0,738798.8200402401,738798.82,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-05,ST28,SKU00584,3,1.7954226,424.0,0.0,95.0,31.0,7.0,2331.51,1830.55,Apparel & Footwear,Women's Wear,PrimeCare,1.7954226,424.0,1.7954226,236.15610051917582,422.2045774,0.0,0.0,0.0,False,53.862678,370.137322,True,100.0,OVERSTOCK,MARKDOWN,0.0,677554.8747871,677554.87,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-23,ST20,SKU00024,3,1.62342,446.0,0.0,87.0,30.0,7.0,2711.05,1671.96,Electronics & Accessories,Batteries,HealthFirst,1.62342,446.0,1.62342,274.72865925022484,444.37658,0.0,0.0,0.0,False,48.702600000000004,397.2974,True,100.0,OVERSTOCK,MARKDOWN,0.0,664265.360904,664265.36,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-14,ST30,SKU01428,4,1.6534005,353.0,0.0,65.0,30.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.6534005,353.0,1.6534005,213.49939110336544,351.3465995,0.0,0.0,0.0,False,49.602015,303.397985,True,100.0,OVERSTOCK,MARKDOWN,0.0,620030.1901056999,620030.19,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-04,ST01,SKU02915,1,2.3204694,406.0,0.0,78.0,24.0,7.0,2288.75,1746.3,Electronics & Accessories,Small Appliances,ZestyCo,2.3204694,406.0,2.3204694,174.96459983484377,403.6795306,0.0,0.0,0.0,False,69.614082,336.385918,True,100.0,OVERSTOCK,MARKDOWN,0.0,587430.7286033999,587430.73,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-22,ST28,SKU04791,1,1.7214586,383.0,0.0,68.0,15.0,7.0,2688.04,1755.1,Electronics & Accessories,Batteries,CleanWave,1.7214586,383.0,1.7214586,222.48574551836447,381.2785414,0.0,0.0,0.0,False,51.643758000000005,331.356242,True,100.0,OVERSTOCK,MARKDOWN,0.0,581563.3403342,581563.34,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-10,ST21,SKU00516,4,2.1309829,460.0,0.0,80.0,18.0,7.0,2155.25,1441.14,Electronics & Accessories,Batteries,GoldenHarvest,2.1309829,460.0,2.1309829,215.86283024608036,457.8690171,0.0,0.0,0.0,False,63.929486999999995,396.070513,True,100.0,OVERSTOCK,MARKDOWN,0.0,570793.05910482,570793.06,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-16,ST03,SKU01428,2,1.8413566,329.0,0.0,76.0,31.0,7.0,2772.39,2043.62,Apparel & Footwear,Men's Wear,BasicNeeds,1.8413566,329.0,1.8413566,178.67261561394463,327.1586434,0.0,0.0,0.0,False,55.240697999999995,273.759302,True,100.0,OVERSTOCK,MARKDOWN,0.0,559459.9847532399,559459.98,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-23,ST21,SKU00075,2,1.6706439,280.0,0.0,63.0,27.0,7.0,3697.58,2393.21,Electronics & Accessories,Batteries,TrueTaste,1.6706439,280.0,1.6706439,167.60004929835736,278.3293561,0.0,0.0,0.0,False,50.119316999999995,229.880683,True,100.0,OVERSTOCK,MARKDOWN,0.0,550152.7493624301,550152.75,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-08,ST12,SKU00024,2,1.7583555,369.0,0.0,70.0,27.0,7.0,2711.05,1671.96,Electronics & Accessories,Batteries,HealthFirst,1.7583555,369.0,1.7583555,209.85517433761262,367.2416445,0.0,0.0,0.0,False,52.750665,316.249335,True,100.0,OVERSTOCK,MARKDOWN,0.0,528756.2381466,528756.24,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-14,ST19,SKU04554,4,1.7627659,425.0,0.0,98.0,22.0,7.0,2001.13,1393.38,Home & Kitchen,Home Decor,UrbanBite,1.7627659,425.0,1.7627659,241.09837840634427,423.2372341,0.0,0.0,0.0,False,52.882977,372.117023,True,100.0,OVERSTOCK,MARKDOWN,0.0,518500.4175077401,518500.42,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-30,ST20,SKU03235,2,1.8880193,542.0,0.0,99.0,33.0,7.0,1648.55,1052.65,Apparel & Footwear,Footwear,HomeStyle,1.8880193,542.0,1.8880193,287.0733365914215,540.1119807,0.0,0.0,0.0,False,56.640579,485.359421,True,100.0,OVERSTOCK,MARKDOWN,0.0,510913.59451565007,510913.59,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-31,ST23,SKU02946,1,1.7634592,427.0,0.0,94.0,31.0,7.0,2029.87,1350.64,Apparel & Footwear,Women's Wear,ValueChoice,1.7634592,427.0,1.7634592,242.13772567009207,425.2365408,0.0,0.0,0.0,False,52.903776,374.096224,True,100.0,OVERSTOCK,MARKDOWN,0.0,505269.32398336,505269.32,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-17,ST28,SKU04236,1,2.155417,477.0,0.0,97.0,38.0,7.0,1751.93,1215.6,Electronics & Accessories,Small Appliances,ValueChoice,2.155417,477.0,2.155417,221.3028847782123,474.844583,0.0,0.0,0.0,False,64.66251,412.33749,True,100.0,OVERSTOCK,MARKDOWN,0.0,501237.45284399996,501237.45,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-15,ST01,SKU00075,3,1.8769375,261.0,0.0,95.0,24.0,7.0,3697.58,2393.21,Electronics & Accessories,Batteries,TrueTaste,1.8769375,261.0,1.8769375,139.05630848123607,259.1230625,0.0,0.0,0.0,False,56.308125,204.691875,True,100.0,OVERSTOCK,MARKDOWN,0.0,489870.64216875006,489870.64,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-11,ST06,SKU04849,1,2.026538,506.0,0.0,88.0,19.0,7.0,1457.98,1088.18,Electronics & Accessories,Batteries,SunriseFoods,2.026538,506.0,2.026538,249.68690446465845,503.973462,0.0,0.0,0.0,False,60.79614,445.20386,True,100.0,OVERSTOCK,MARKDOWN,0.0,484461.93637480005,484461.94,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-05,ST30,SKU00592,5,2.0590773,396.0,0.0,75.0,29.0,7.0,2203.73,1430.8,Apparel & Footwear,Kids Wear,UrbanBite,2.0590773,396.0,2.0590773,192.3191518841959,393.9409227,0.0,0.0,0.0,False,61.77231900000001,334.22768099999996,True,100.0,OVERSTOCK,MARKDOWN,0.0,478212.96597479994,478212.97,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-23,ST18,SKU03941,1,1.8412737,357.0,0.0,99.0,49.0,7.0,2059.71,1578.53,Electronics & Accessories,Batteries,CityFresh,1.8412737,357.0,1.8412737,193.88752470640298,355.1587263,0.0,0.0,0.0,False,55.238211,301.761789,True,100.0,OVERSTOCK,MARKDOWN,0.0,476340.03679017,476340.04,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-14,ST03,SKU04849,5,1.8143216,483.0,0.0,98.0,25.0,7.0,1457.98,1088.18,Electronics & Accessories,Batteries,SunriseFoods,1.8143216,483.0,1.8143216,266.21520682992474,481.1856784,0.0,0.0,0.0,False,54.429648,428.570352,True,100.0,OVERSTOCK,MARKDOWN,0.0,466361.68563936005,466361.69,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-19,ST27,SKU03634,1,1.9537216,385.0,0.0,65.0,27.0,7.0,2372.1,1426.85,Apparel & Footwear,Footwear,ZestyCo,1.9537216,385.0,1.9537216,197.05980626922485,383.0462784,0.0,0.0,0.0,False,58.611647999999995,326.388352,True,100.0,OVERSTOCK,MARKDOWN,0.0,465707.22005119995,465707.22,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-16,ST17,SKU02915,3,2.0123804,327.0,0.0,80.0,21.0,7.0,2288.75,1746.3,Electronics & Accessories,Small Appliances,ZestyCo,2.0123804,327.0,2.0123804,162.49412884363215,324.9876196,0.0,0.0,0.0,False,60.371412,266.628588,True,100.0,OVERSTOCK,MARKDOWN,0.0,465613.50322439993,465613.5,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-12,ST03,SKU02279,4,1.6727957,435.0,0.0,78.0,24.0,7.0,1825.01,1201.75,Apparel & Footwear,Footwear,SmartBuy,1.6727957,435.0,1.6727957,260.0437100597521,433.3272043,0.0,0.0,0.0,False,50.183870999999996,384.816129,True,100.0,OVERSTOCK,MARKDOWN,0.0,462452.78302574996,462452.78,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-27,ST03,SKU01534,1,1.7137358,279.0,0.0,99.0,27.0,7.0,2964.57,2016.22,Apparel & Footwear,Footwear,ZestyCo,1.7137358,279.0,1.7137358,162.80222424016583,277.2862642,0.0,0.0,0.0,False,51.412074000000004,227.58792599999998,True,100.0,OVERSTOCK,MARKDOWN,0.0,458867.32815972,458867.33,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-04,ST20,SKU01068,1,2.0029938,429.0,0.0,83.0,26.0,7.0,2201.06,1243.53,Electronics & Accessories,Mobile Accessories,PrimeCare,2.0029938,429.0,2.0029938,214.17939486382832,426.9970062,0.0,0.0,0.0,False,60.089814000000004,368.910186,True,100.0,OVERSTOCK,MARKDOWN,0.0,458750.88359658,458750.88,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-13,ST13,SKU00987,1,1.6654024,420.0,0.0,81.0,19.0,7.0,1614.69,1137.98,Electronics & Accessories,Mobile Accessories,TrueTaste,1.6654024,420.0,1.6654024,252.19130223422277,418.3345976,0.0,0.0,0.0,False,49.962072,370.037928,True,100.0,OVERSTOCK,MARKDOWN,0.0,421095.76130544004,421095.76,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-28,ST22,SKU03740,5,2.0841653,432.0,0.0,100.0,30.0,7.0,2021.49,1124.92,Apparel & Footwear,Men's Wear,SoftTouch,2.0841653,432.0,2.0841653,207.27722508382612,429.9158347,0.0,0.0,0.0,False,62.524959,369.475041,True,100.0,OVERSTOCK,MARKDOWN,0.0,415629.86312172,415629.86,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-26,ST19,SKU04152,1,2.1492825,585.0,0.0,99.0,48.0,7.0,1148.97,769.38,Health & Wellness,OTC Medicine,ValueChoice,2.1492825,585.0,2.1492825,272.18385670566806,582.8507175,0.0,0.0,0.0,False,64.478475,520.521525,True,100.0,OVERSTOCK,MARKDOWN,0.0,400478.8509045,400478.85,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-04,ST26,SKU04791,5,1.7976085,280.0,0.0,72.0,24.0,7.0,2688.04,1755.1,Electronics & Accessories,Batteries,CleanWave,1.7976085,280.0,1.7976085,155.76250334819846,278.2023915,0.0,0.0,0.0,False,53.928255,226.071745,True,100.0,OVERSTOCK,MARKDOWN,0.0,396778.51964949997,396778.52,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-02,ST28,SKU01174,1,1.8727895,326.0,0.0,94.0,33.0,7.0,1964.02,1462.83,Home & Kitchen,Home Decor,NovaFresh,1.8727895,326.0,1.8727895,174.07188581525045,324.1272105,0.0,0.0,0.0,False,56.183685000000004,269.816315,True,100.0,OVERSTOCK,MARKDOWN,0.0,394695.4000714499,394695.4,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-02,ST11,SKU00584,2,1.9037851,268.0,0.0,75.0,19.0,7.0,2331.51,1830.55,Apparel & Footwear,Women's Wear,PrimeCare,1.9037851,268.0,1.9037851,140.7721911469945,266.0962149,0.0,0.0,0.0,False,57.113552999999996,210.886447,True,100.0,OVERSTOCK,MARKDOWN,0.0,386038.18555585,386038.19,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-31,ST14,SKU01174,3,1.9279599,321.0,0.0,67.0,26.0,7.0,1964.02,1462.83,Home & Kitchen,Home Decor,NovaFresh,1.9279599,321.0,1.9279599,166.49723886892045,319.0720401,0.0,0.0,0.0,False,57.838797,263.161203,True,100.0,OVERSTOCK,MARKDOWN,0.0,384960.10258448997,384960.1,CRITICAL,Inventory exceeds the 30-day demand coverage target
2025-12-31,ST27,SKU00631,1,2.2345574,465.0,0.0,91.0,24.0,7.0,1304.33,954.88,Home & Kitchen,Cookware,CrispKing,2.2345574,465.0,2.2345574,208.0949005829969,462.76544260000003,0.0,0.0,0.0,False,67.036722,397.963278,True,100.0,OVERSTOCK,MARKDOWN,0.0,380007.17489664,380007.17,CRITICAL,Inventory exceeds the 30-day demand coverage target
